Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,29131,Enplaned,29131,2005,July
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Deplaned,Other,Terminal 1,B,35156,Deplaned,35156,2005,July
200507,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,6263,Deplaned,6263,2005,July
200507,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,12050,Deplaned,12050,2005,July
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,4998,Deplaned,4998,2005,July
200507,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,International,A,8055,Deplaned,8055,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,36641,Deplaned,36641,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,International,A,3678,Thru / Transit * 2,7356,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Other,International,A,8837,Enplaned,8837,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,10046,Enplaned,10046,2005,July
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6545,Deplaned,6545,2005,July
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,166577,Deplaned,166577,2005,July
200507,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,5493,Deplaned,5493,2005,July
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,5041,Deplaned,5041,2005,July
200507,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,1552,Deplaned,1552,2005,July
200507,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Deplaned,Other,International,A,325,Deplaned,325,2005,July
200507,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,20632,Deplaned,20632,2005,July
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,11010,Deplaned,11010,2005,July
200507,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,13638,Deplaned,13638,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,97510,Deplaned,97510,2005,July
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,14142,Deplaned,14142,2005,July
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,19234,Deplaned,19234,2005,July
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,Terminal 1,C,7579,Deplaned,7579,2005,July
200507,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,5284,Deplaned,5284,2005,July
200507,Icelandair,FI,Icelandair,FI,International,Europe,Deplaned,Other,International,A,4540,Deplaned,4540,2005,July
200507,Independence Air,DH,Independence Air,DH,Domestic,US,Deplaned,Low Fare,International,A,10843,Deplaned,10843,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,9195,Deplaned,9195,2005,July
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,9978,Deplaned,9978,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,6153,Deplaned,6153,2005,July
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,22389,Deplaned,22389,2005,July
200507,Mesa Airlines,YV,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,B,2636,Deplaned,2636,2005,July
200507,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Deplaned,Other,International,G,7751,Deplaned,7751,2005,July
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Other,Terminal 1,A,1797,Deplaned,1797,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Deplaned,Other,Terminal 1,C,64231,Deplaned,64231,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Other,International,A,7229,Deplaned,7229,2005,July
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,12828,Deplaned,12828,2005,July
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,19211,Deplaned,19211,2005,July
200507,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,7262,Deplaned,7262,2005,July
200507,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,103279,Deplaned,103279,2005,July
200507,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,3688,Deplaned,3688,2005,July
200507,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,Terminal 1,B,4827,Deplaned,4827,2005,July
200507,TACA,TA,TACA,TA,International,Central America,Deplaned,Other,International,G,6324,Deplaned,6324,2005,July
